i (N, degree, p, d) cond (hit_iron, hit_bis) im_scale

1 (50, 4, 25, 45) 23.724126767662185 (18, 10) 1.693146465622119
2 (50, 1, 75, 55) 31.88428283991836 (10, 10) 0.999999999999998
3 (50, 2, 75, 55) 42.528740156773324 (10, 10) 0.9999999999999951
4 (50, 4, 30, 45) 42.942219625941526 (17, 10) 1.596680085155584
5 (50, 1, 75, 60) 46.66707094707082 (10, 10) 0.9999999999999986
6 (50, 2, 75, 60) 48.31252352577219 (10, 10) 0.9999999999999979
7 (50, 5, 35, 40) 54.53691364434386 (18, 10) 1.490989666942036
8 (50, 3, 25, 40) 68.0497194765099 (12, 10) 1.4061099035156983
9 (50, 5, 40, 45) 69.80424537324099 (17, 10) 1.5010883818478067
10 (50, 1, 65, 55) 77.7433152968374 (10, 10) 0.999999999999998
11 (50, 2, 65, 55) 78.65475694974955 (10, 10) 1.0
12 (50, 4, 35, 40) 81.8510056251662 (12, 10) 1.3173130932765809
13 (50, 3, 25, 45) 82.60597903629684 (12, 10) 1.4478628535281044
14 (50, 4, 30, 40) 84.01366396255871 (11, 10) 1.3349372180395975
15 (50, 1, 75, 65) 87.68711478838763 (10, 10) 0.999999999999998
16 (50, 3, 25, 35) 90.46044916250085 (10, 10) 1.281316362533756
17 (50, 3, 75, 60) 91.54148780727208 (10, 10) 0.9999999999999966
18 (50, 2, 75, 65) 92.59024314736556 (10, 10) 0.9999999999999968
19 (50, 3, 75, 55) 94.24910662177707 (10, 10) 0.9999999999999983
20 (50, 1, 70, 55) 103.63864939362618 (10, 10) 0.9999999999999977
21 (50, 1, 65, 60) 105.25320861637331 (10, 10) 0.999999999999998
22 (50, 4, 40, 45) 106.52134439195737 (12, 10) 1.3060046587028664
23 (50, 2, 70, 55) 107.66647662206131 (10, 10) 0.9999999999999964
24 (50, 1, 75, 70) 108.96667668645674 (10, 10) 0.9999999999999988
25 (50, 2, 65, 60) 119.35471411116092 (10, 10) 0.9999999999999986
26 (50, 1, 55, 55) 119.7741093029527 (10, 10) 0.9999999999999993
27 (50, 1, 65, 65) 121.45884457083014 (10, 10) 0.999999999999998
28 (50, 3, 75, 65) 122.86383660194925 (10, 10) 0.9999999999999982
29 (50, 3, 70, 55) 135.935166301028 (10, 10) 0.9999999999999861
30 (50, 1, 75, 75) 136.0718872909365 (10, 10) 0.9999999999999983
31 (50, 3, 65, 55) 136.28722607121637 (10, 10) 0.9999999999999974
32 (50, 3, 30, 45) 138.6056000572346 (10, 10) 1.2012972662843477
