
Iteration 1
1 (50, 7, 25, 35) 11.597626427460375 (10, 10) 2.5100271478762988 bad
2 (50, 5, 25, 40) 14.353824215507476 (10, 10) 2.0836598131583446 bad
3 (50, 6, 30, 45) 16.62321147019618 (10, 10) 2.133441007073768
4 (50, 1, 75, 55) 31.88428283991836 (10, 10) 0.9999999999999993
5 (50, 2, 75, 55) 42.528740156773324 (10, 10) 0.9999999999999992
6 (50, 4, 30, 45) 42.942219625941526 (10, 10) 1.4803307298757995
7 (50, 1, 75, 60) 46.66707094707082 (10, 10) 0.9999999999999984
8 (50, 2, 75, 60) 48.31252352577219 (10, 10) 0.9999999999999977
9 (50, 1, 65, 55) 77.7433152968374 (10, 10) 0.9999999999999983
10 (50, 2, 65, 55) 78.65475694974955 (10, 10) 0.9999999999999989
11 (50, 1, 75, 65) 87.68711478838763 (10, 10) 0.9999999999999989
12 (50, 3, 75, 60) 91.54148780727208 (10, 10) 0.9999999999999987
13 (50, 2, 75, 65) 92.59024314736556 (10, 10) 0.9999999999999982
14 (50, 3, 75, 55) 94.24910662177707 (10, 10) 0.9999999999999984
15 (50, 1, 70, 55) 103.63864939362618 (10, 10) 0.9999999999999976
16 (50, 1, 65, 60) 105.25320861637331 (10, 10) 0.9999999999999976
17 (50, 4, 40, 45) 106.52134439195737 (10, 10) 1.3017947276317927
18 (50, 2, 70, 55) 107.66647662206131 (10, 10) 0.9999999999999989
19 (50, 1, 75, 70) 108.96667668645674 (10, 10) 0.9999999999999984
20 (50, 2, 65, 60) 119.35471411116092 (10, 10) 0.9999999999999976
21 (50, 1, 55, 55) 119.7741093029527 (10, 10) 0.9999999999999983
22 (50, 1, 65, 65) 121.45884457083014 (10, 10) 0.9999999999999979
23 (50, 3, 75, 65) 122.86383660194925 (10, 10) 0.9999999999999976
24 (50, 3, 70, 55) 135.935166301028 (10, 10) 0.9999999999999956
25 (50, 1, 75, 75) 136.0718872909365 (10, 10) 0.9999999999999989
26 (50, 3, 65, 55) 136.28722607121637 (10, 10) 0.9999999999999989
27 (50, 2, 75, 70) 142.71655677924903 (10, 10) 0.9999999999999982
